EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME
17582,194472,BUDRIO_DONDINA                          ,IT,+44:31:19,+011:32:59,  30, TG3,20120430,20160505,   54,Valentina Pavan                                   
17582,194648,CASALECCHIO_CANALE                      ,IT,+44:28:32,+011:16:51,  63, TG3,20051231,20100204,   54,Valentina Pavan                                   
17582,194824,CASTENASO_VILLANOVA                     ,IT,+44:29:24,+011:25:45,  51, TG3,20120502,20160504,   54,Valentina Pavan                                   
17582,197464,SERPIERI                                ,IT,+44:32:54,+011:22:02,  28, TG3,20181031,20220130,   54,Valentina Pavan                                   
17582,197984,BUDRIO_PRUNARO                          ,IT,+44:30:33,+011:31:12,  46, TG3,20120503,20160504,   54,Valentina Pavan                                   
17582,916140,BOLOGNA/BORGO PANIGALE                  ,IT,+44:32:00,+011:18:00,  37, TG5,19820113,20200229,     ,                    
 2795,194840,CATTOLICA                               ,IT,+43:57:30,+012:44:22,   5, TG3,20060727,20220130,   54,Valentina Pavan                                   
17584,194856,CAVRIAGO                                ,IT,+44:41:22,+010:30:38,  95, TG3,20051231,20190530,   54,Valentina Pavan                                   
17584,198104,REGGIO_NELLEMILIA_URBANA                ,IT,+44:41:52,+010:38:01,  72, TG3,20051231,20220130,   54,Valentina Pavan                                   
17586,194872,CERRETO_LAGHI                           ,IT,+44:17:55,+010:14:18,1336, TG3,20051231,20100708,   54,Valentina Pavan                                   
17588,194912,CESENATICO_PORTO                        ,IT,+44:12:23,+012:24:04,   1, TG3,20080123,20210130,   54,Valentina Pavan                                   
17588,195856,MARTORANO                               ,IT,+44:09:58,+012:16:04,  25, TG3,20060713,20220130,   54,Valentina Pavan                                   
17588,916148,CERVIA                                  ,IT,+44:13:00,+012:18:00,  10, TG5,20000526,20200229,     ,                    
17589,194920,CESENA_URBANA                           ,IT,+44:08:17,+012:14:37,  77, TG3,20051231,20220130,   54,Valentina Pavan                                   
17589,197080,SAN_CARLO                               ,IT,+44:05:27,+012:11:59,  54, TG3,20051231,20150826,   54,Valentina Pavan                                   
17591,194296,BERRA                                   ,IT,+44:58:04,+011:53:44,   3, TG3,20121231,20180305,   54,Valentina Pavan                                   
17591,194936,CIPRIANO                                ,IT,+44:55:56,+011:53:48,   1, TG3,20051231,20190530,   54,Valentina Pavan                                   
17591,195040,COPPARO                                 ,IT,+44:54:59,+011:49:17,   1, TG3,20051231,20220130,   54,Valentina Pavan                                   
17592,194944,CIVAGO                                  ,IT,+44:14:49,+010:27:56,1051, TG3,20051231,20220130,   54,Valentina Pavan                                   
 2798,194952,CIVITELLA DI ROMAGNA                    ,IT,+43:59:37,+011:56:43, 460, TG3,20051231,20220130,   54,Valentina Pavan                                   
 2799,194984,CODIGORO                                ,IT,+44:50:06,+012:05:52,   2, TG3,20180407,20220130,   54,Valentina Pavan                                   
 2799,195088,CORTE_CENTRALE                          ,IT,+44:47:13,+012:01:39,  -2, TG3,20181107,20200130,   54,Valentina Pavan                                   
 2799,195432,GIRALDA                                 ,IT,+44:48:51,+012:14:54,   3, TG3,20051231,20220130,   54,Valentina Pavan                                   
 2799,195568,JOLANDA DI SAVOIA                       ,IT,+44:53:11,+011:58:36,  -2, TG3,20121231,20180220,   54,Valentina Pavan                                   
 2799,195616,LAGOSANTO                               ,IT,+44:44:22,+012:08:55,  -4, TG3,20181107,20200130,   54,Valentina Pavan                                   
 2799,195912,MESOLA                                  ,IT,+44:55:09,+012:10:21,  -3, TG3,20121231,20200130,   54,Valentina Pavan                                   
 2799,196648,PONTE_MAODINO                           ,IT,+44:49:37,+012:07:58,  -3, TG3,20181107,20190530,   54,Valentina Pavan                                   
 2799,197856,VOLANO                                  ,IT,+44:48:46,+012:15:01,   1, TG3,20060718,20181016,   54,Valentina Pavan                                   
 2800,195000,COLLAGNA                                ,IT,+44:20:41,+010:16:16, 832, TG3,20051231,20220130,   54,Valentina Pavan                                   
17597,195016,COLORNO                                 ,IT,+44:56:37,+010:20:58,  29, TG3,20051231,20161124,   54,Valentina Pavan                                   
17597,195408,GAINAGO                                 ,IT,+44:53:07,+010:22:50,  28, TG3,20051231,20220130,   54,Valentina Pavan                                   
 2801,195040,COPPARO                                 ,IT,+44:54:59,+011:49:17,   1, TG3,20051231,20220130,   54,Valentina Pavan                                   
 2802,195056,CORNIOLO                                ,IT,+43:54:26,+011:47:35, 555, TG3,20051231,20220130,   54,Valentina Pavan                                   
 2802,195176,DIGA_DI_RIDRACOLI                       ,IT,+43:52:12,+011:50:19, 565, TG3,20051231,20220130,   54,Valentina Pavan                                   
17601,195072,CORREGGIO                               ,IT,+44:44:35,+010:46:22,  33, TG3,20051231,20220130,   54,Valentina Pavan                                   
